datetime,atp,wtp
10-24-2012 2100,27.6,28.3
10-24-2012 2200,27.7,28.6
10-24-2012 2300,27.3,28.8
10-25-2012 0000,26.8,28.8
10-25-2012 0100,26.3,28.7
10-25-2012 0200,26.3,28.5
10-25-2012 0300,26.3,28.3
10-25-2012 0400,26.2,28.1
10-25-2012 0500,26.2,27.9
10-25-2012 0600,26.1,27.8
10-25-2012 0700,26.1,27.7
10-25-2012 0800,26,27.5
10-25-2012 0900,26,27.4
10-25-2012 1000,25.8,27.3
10-25-2012 1100,26.1,27.2
10-25-2012 1200,26,27.1
10-25-2012 1300,26.2,27.1
10-25-2012 1400,27.1,27
10-25-2012 1500,27.5,27
10-25-2012 1600,27.9,27
10-25-2012 1700,27.7,27.1
10-25-2012 1800,27.8,27.4
10-25-2012 1900,28.4,27.6
10-25-2012 2000,28.3,28.1
10-25-2012 2100,28.4,28.4
10-25-2012 2200,28.1,28.7
10-25-2012 2300,27.6,28.8
10-26-2012 0000,26.8,28.8
10-26-2012 0100,26.6,28.5
10-26-2012 0200,26.5,28.3
10-26-2012 0300,26.5,28.1
10-26-2012 0400,26.5,28.1
10-26-2012 0500,26.5,28
10-26-2012 0600,26.4,27.9
10-26-2012 0700,26.1,27.9
10-26-2012 0800,26,27.8
10-26-2012 0900,25.5,27.8
10-26-2012 1000,25.5,27.7
10-26-2012 1100,25.3,27.7
10-26-2012 1200,25.4,27.7
10-26-2012 1300,20.9,27.6
10-26-2012 1400,20.2,27.5
10-26-2012 1500,20.4,27.3
10-26-2012 1600,20.1,27.1
10-26-2012 1700,20.4,27
10-26-2012 1800,20.3,26.9
10-26-2012 1900,20.1,26.8
10-26-2012 2000,20.3,26.6
10-26-2012 2100,20.9,26.4
10-26-2012 2200,19.9,26.2
10-26-2012 2300,17.4,26
10-27-2012 0000,16.7,25.6
10-27-2012 0100,15.9,25.2
10-27-2012 0200,16,24.9
10-27-2012 0300,15.8,24.2
10-27-2012 0400,15.8,23.9
10-27-2012 0500,15.2,23.5
10-27-2012 0600,15.2,23.3
10-27-2012 0700,15,23.1
10-27-2012 0800,14.8,22.6
10-27-2012 0900,14.3,22.1
10-27-2012 1000,14.2,21.9
10-27-2012 1100,14,21.5
10-27-2012 1200,13.6,21.2
10-27-2012 1300,13.7,21
10-27-2012 1400,13.2,20.9
10-27-2012 1500,13,20.6
10-27-2012 1600,12.8,20.3
10-27-2012 1700,13.5,20.2
10-27-2012 1800,13.8,20
10-27-2012 1900,14.4,19.9
10-27-2012 2000,15.2,19.9
10-27-2012 2100,15.9,20
10-27-2012 2200,17,19.9
10-27-2012 2300,18,19.9
10-28-2012 0000,18.1,19.9
10-28-2012 0100,18.1,19.8
10-28-2012 0200,18,19.7
10-28-2012 0300,18.1,19.7
10-28-2012 0400,18,19.6
10-28-2012 0500,17.7,19.5
10-28-2012 0600,16.8,19.3
10-28-2012 0700,16.6,19.2
10-28-2012 0800,16.5,19.1
10-28-2012 0900,16.1,19
10-28-2012 1000,16,18.9
10-28-2012 1100,15.9,18.7
10-28-2012 1200,15.4,18.6
10-28-2012 1300,15.1,18.4
10-28-2012 1400,15,18.2
10-28-2012 1500,15,18
10-28-2012 1600,14.8,17.9
10-28-2012 1700,14.8,17.8
10-28-2012 1800,14.9,17.6
10-28-2012 1900,15.5,17.7
10-28-2012 2000,16.1,17.8
10-28-2012 2100,16.6,18
10-28-2012 2200,17.4,18.2
10-28-2012 2300,17.9,18.4
10-29-2012 0000,17.1,18.7
10-29-2012 0100,17,18.8
10-29-2012 0200,17.1,18.8
10-29-2012 0300,16.8,18.8
10-29-2012 0400,16.2,18.8
10-29-2012 0500,15.9,18.8
10-29-2012 0600,15.8,18.8
10-29-2012 0700,16.2,18.6
10-29-2012 0800,16,18.5
10-29-2012 0900,17.3,18.4
10-29-2012 1000,17.2,18.3
10-29-2012 1100,17,18.2
10-29-2012 1200,16.7,18.1
10-29-2012 1300,16.6,18
10-29-2012 1400,17,17.9
10-29-2012 1500,17,17.8
10-29-2012 1600,17.3,17.7
10-29-2012 1700,17.8,17.8
10-29-2012 1800,18.6,18.1
10-29-2012 1900,20.2,18.3
10-29-2012 2000,20.1,18.6
10-29-2012 2100,20.2,18.9
10-29-2012 2200,20.1,19.2
10-29-2012 2300,20,19.4
10-30-2012 0000,19.1,19.6
10-30-2012 0100,18.6,19.7
10-30-2012 0200,18.4,19.8
10-30-2012 0300,18,19.9
10-30-2012 0400,18.4,19.8
10-30-2012 0500,19,19.8
10-30-2012 0600,18.2,19.7
10-30-2012 0700,18.5,19.5
10-30-2012 0800,18.6,19.4
10-30-2012 0900,18.9,19.3
10-30-2012 1000,18.5,19.2
10-30-2012 1100,18.3,19.1
10-30-2012 1200,18.9,19
10-30-2012 1300,16.8,18.9
10-30-2012 1400,16.7,18.8
10-30-2012 1500,18.4,18.8
10-30-2012 1600,20.3,18.9
10-30-2012 1700,23,19.1
10-30-2012 1800,23.1,19.4
10-30-2012 1900,23.5,19.6
10-30-2012 2000,23.7,20
10-30-2012 2100,23.7,20.3
10-30-2012 2200,23.7,20.6
10-30-2012 2300,23.5,20.9
10-31-2012 0000,22.8,21
10-31-2012 0100,22.8,21.1
10-31-2012 0200,22.9,21.1
10-31-2012 0300,22.9,21.1
10-31-2012 0400,22.9,21.1
10-31-2012 0500,22.8,21
10-31-2012 0600,22.5,21
10-31-2012 0700,22.6,20.9
10-31-2012 0800,22,20.9
10-31-2012 0900,21.6,20.9
10-31-2012 1000,21.7,20.8
10-31-2012 1100,21.7,20.8
10-31-2012 1200,21.9,20.8
10-31-2012 1300,21.3,20.7
10-31-2012 1400,22.9,20.7
10-31-2012 1500,25.3,20.7
10-31-2012 1600,25.6,20.8
10-31-2012 1700,26.1,21
10-31-2012 1800,26.4,21.4
10-31-2012 1900,26.5,21.7
10-31-2012 2000,26.3,22.1
10-31-2012 2100,25.7,22.6
10-31-2012 2200,25.1,23
10-31-2012 2300,24.9,23.3
11-01-2012 0000,24.4,23.5
11-01-2012 0100,24,23.7
11-01-2012 0200,24,23.8
11-01-2012 0300,23.8,23.9
11-01-2012 0400,23.6,23.9
11-01-2012 0500,23.2,23.9
11-01-2012 0600,23.3,23.8
11-01-2012 0700,23.2,23.8
11-01-2012 0800,23.2,23.7
11-01-2012 0900,22.7,23.6
11-01-2012 1000,22.7,23.5
11-01-2012 1100,22.3,23.4
11-01-2012 1200,22,23.2
11-01-2012 1300,22.2,23.1
11-01-2012 1400,22.7,23
11-01-2012 1500,23.4,23
11-01-2012 1600,24.1,23
11-01-2012 1700,25.8,23.2
11-01-2012 1800,25.1,23.5
11-01-2012 1900,26.3,23.9
11-01-2012 2000,26.1,24.3
11-01-2012 2100,25.2,24.6
11-01-2012 2200,25.5,24.9
11-01-2012 2300,24.9,25.1
11-02-2012 0000,24.1,25.2
11-02-2012 0100,23.6,25.2
11-02-2012 0200,23.9,25.2
11-02-2012 0300,24,25.2
11-02-2012 0400,23.8,25.1
11-02-2012 0500,23.8,25
11-02-2012 0600,23.6,24.9
11-02-2012 0700,23.7,24.8
11-02-2012 0800,23.8,24.7
11-02-2012 0900,23.6,24.7
11-02-2012 1000,23.2,24.6
11-02-2012 1100,22.6,24.5
11-02-2012 1200,22.7,24.4
11-02-2012 1300,22.3,24.3
11-02-2012 1400,23.5,24.2
11-02-2012 1500,25.2,24.2
11-02-2012 1600,25.8,24.2
11-02-2012 1700,26.1,24.4
11-02-2012 1800,26.4,24.7
11-02-2012 1900,26.5,25
11-02-2012 2000,26.4,25.3
11-02-2012 2100,26.6,25.7
11-02-2012 2200,26.2,26.1
